size,tie-breaking method,#expirement,#expand nodes,time per node,#ties,#steps in solution,overall time,#second ties,#nodes in memory
25,LIFO,0,248,1.37E-05,66,49,0.003402054,0,264
25,LIFO,1,315,1.41E-05,52,61,0.004449256,0,321
25,LIFO,2,202,1.32E-05,35,49,0.002676353,0,218
25,LIFO,3,287,1.45E-05,46,53,0.004150979,0,299
25,LIFO,4,273,1.47E-05,63,53,0.004012212,0,286
25,LIFO,5,226,1.32E-05,45,49,0.002982482,0,243
25,LIFO,6,224,1.30E-05,38,53,0.002920046,0,239
25,LIFO,7,232,1.40E-05,52,49,0.003239252,0,245
25,LIFO,8,223,1.30E-05,41,49,0.00290335,0,238
25,LIFO,9,196,1.27E-05,25,49,0.00249207,0,209
25,FIFO,0,268,1.44E-05,65,53,0.003847137,0,278
25,FIFO,1,247,1.31E-05,54,53,0.003244415,0,255
25,FIFO,2,324,1.49E-05,73,57,0.0048353,0,328
25,FIFO,3,295,1.51E-05,68,53,0.004469141,0,300
25,FIFO,4,284,1.42E-05,64,53,0.004035138,0,292
25,FIFO,5,315,1.49E-05,84,53,0.004697189,0,322
25,FIFO,6,261,1.40E-05,72,49,0.003651716,0,270
25,FIFO,7,270,1.46E-05,78,49,0.00394015,0,282
25,FIFO,8,243,1.31E-05,38,57,0.003177501,0,257
25,FIFO,9,227,1.34E-05,49,49,0.003039278,0,240
25,H-LIFO,0,253,1.54E-05,79,49,0.003887214,70,272
25,H-LIFO,1,273,1.49E-05,38,53,0.004074879,11,285
25,H-LIFO,2,241,1.48E-05,43,49,0.003555313,31,260
25,H-LIFO,3,314,1.40E-05,44,57,0.004401051,16,318
25,H-LIFO,4,267,1.40E-05,49,57,0.003727101,34,284
25,H-LIFO,5,247,1.40E-05,51,49,0.003467336,33,259
25,H-LIFO,6,228,1.51E-05,53,49,0.003441282,41,247
25,H-LIFO,7,316,1.57E-05,63,57,0.004953675,34,322
25,H-LIFO,8,192,1.30E-05,24,49,0.002497241,11,205
25,H-LIFO,9,176,1.24E-05,33,49,0.00218679,21,188
25,H-FIFO,0,240,1.41E-05,59,49,0.003375255,47,254
25,H-FIFO,1,177,1.22E-05,24,49,0.002162606,18,191
25,H-FIFO,2,252,1.48E-05,59,49,0.003737897,50,267
25,H-FIFO,3,300,1.41E-05,72,57,0.004223786,46,307
25,H-FIFO,4,281,1.44E-05,55,57,0.004058056,35,294
25,H-FIFO,5,298,1.35E-05,49,61,0.004030272,36,307
25,H-FIFO,6,303,1.48E-05,52,57,0.004476689,30,316
25,H-FIFO,7,279,1.40E-05,53,57,0.003907308,34,292
25,H-FIFO,8,235,1.52E-05,46,49,0.003564164,38,255
25,H-FIFO,9,312,1.41E-05,39,65,0.004400551,8,318
25,H-G,0,247,1.41E-05,51,53,0.0034803,34,261
25,H-G,1,267,1.48E-05,40,53,0.003953807,27,282
25,H-G,2,250,1.48E-05,79,49,0.003701732,70,266
25,H-G,3,281,1.50E-05,51,53,0.004220456,32,291
25,H-G,4,288,1.53E-05,77,53,0.004402682,66,302
25,H-G,5,219,1.41E-05,43,49,0.003082514,34,235
25,H-G,6,224,2.18E-05,56,49,0.004891329,44,238
25,H-G,7,221,1.74E-05,55,49,0.003841653,33,236
25,H-G,8,208,2.08E-05,41,49,0.004334331,36,226
25,H-G,9,284,1.47E-05,75,53,0.004182287,64,297
25,G-H,0,265,1.55E-05,71,49,0.004113115,51,276
25,G-H,1,268,1.51E-05,82,49,0.004057504,63,277
25,G-H,2,287,1.54E-05,69,53,0.004422374,50,296
25,G-H,3,167,1.21E-05,21,49,0.002018623,5,180
25,G-H,4,283,1.63E-05,76,49,0.004606523,60,293
25,G-H,5,170,1.18E-05,16,49,0.002006561,9,182
25,G-H,6,250,1.44E-05,57,53,0.003587931,44,262
25,G-H,7,235,1.31E-05,31,57,0.003074601,17,248
25,G-H,8,245,1.41E-05,63,49,0.003454335,49,254
25,G-H,9,265,1.57E-05,68,49,0.004157156,55,274
25,RANDOM,0,285,1.41E-05,45,57,0.004030682,0,292
25,RANDOM,1,224,1.35E-05,35,53,0.003031977,0,237
25,RANDOM,2,263,1.54E-05,75,49,0.004063301,0,273
25,RANDOM,3,259,1.44E-05,37,53,0.00372155,0,266
25,RANDOM,4,291,1.66E-05,44,53,0.00483086,0,301
25,RANDOM,5,213,1.49E-05,61,49,0.003164209,0,228
25,RANDOM,6,222,1.46E-05,56,49,0.003238685,0,233
25,RANDOM,7,235,1.35E-05,54,49,0.003166221,0,247
25,RANDOM,8,300,1.51E-05,120,53,0.004531816,0,307
