size,tie-breaking method,#expirement,#expand nodes,time per node,#ties,#steps in solution,overall time,#second ties,#nodes in memory
25,LIFO,0,104,2.52E-05,98,49,0.002616808,0,124
25,LIFO,1,201,3.18E-05,196,53,0.006384857,0,218
25,LIFO,2,96,2.53E-05,94,49,0.002431788,0,114
25,LIFO,3,138,2.75E-05,134,49,0.003798895,0,163
25,LIFO,4,122,2.40E-05,116,49,0.002931997,0,137
25,LIFO,5,150,3.52E-05,146,49,0.005285904,0,166
25,LIFO,6,76,2.84E-05,76,49,0.002160929,0,96
25,LIFO,7,299,3.00E-05,274,61,0.00897485,0,309
25,LIFO,8,192,2.72E-05,177,53,0.00522323,0,209
25,LIFO,9,236,2.61E-05,213,53,0.006150797,0,245
25,FIFO,0,126,2.65E-05,119,49,0.003341898,0,141
25,FIFO,1,262,2.90E-05,255,53,0.007606372,0,274
25,FIFO,2,170,2.81E-05,167,49,0.004775159,0,189
25,FIFO,3,126,2.81E-05,117,49,0.003537513,0,149
25,FIFO,4,194,2.80E-05,190,49,0.005431525,0,211
25,FIFO,5,274,3.21E-05,263,53,0.008788779,0,287
25,FIFO,6,252,3.20E-05,247,53,0.008068144,0,266
25,FIFO,7,232,3.24E-05,229,49,0.007515028,0,251
25,FIFO,8,122,2.19E-05,118,49,0.002672933,0,133
25,FIFO,9,270,2.79E-05,259,57,0.007535674,0,282
25,H-LIFO,0,68,2.49E-05,66,49,0.001696587,11,82
25,H-LIFO,1,150,2.74E-05,140,53,0.004108436,23,171
25,H-LIFO,2,120,2.70E-05,112,49,0.003236465,17,143
25,H-LIFO,3,237,2.86E-05,232,53,0.006768785,30,252
25,H-LIFO,4,84,2.68E-05,84,49,0.002254471,16,98
25,H-LIFO,5,164,2.45E-05,146,53,0.00401023,15,180
25,H-LIFO,6,94,2.56E-05,88,49,0.002407297,18,109
25,H-LIFO,7,179,2.87E-05,174,53,0.00513678,22,198
25,H-LIFO,8,266,3.02E-05,261,57,0.008031927,39,281
25,H-LIFO,9,98,2.48E-05,98,49,0.002427362,17,117
25,H-FIFO,0,155,1.86E-05,138,53,0.002882138,22,167
25,H-FIFO,1,98,2.27E-05,98,49,0.002222672,18,118
25,H-FIFO,2,84,2.12E-05,82,49,0.001776867,13,99
25,H-FIFO,3,140,1.92E-05,132,49,0.00268884,18,157
25,H-FIFO,4,126,2.04E-05,116,49,0.002569295,19,143
25,H-FIFO,5,178,2.12E-05,153,53,0.003771022,23,191
25,H-FIFO,6,84,2.72E-05,82,49,0.002280928,14,100
25,H-FIFO,7,222,2.71E-05,205,53,0.006021105,33,238
25,H-FIFO,8,179,2.35E-05,166,53,0.004205108,23,195
25,H-FIFO,9,152,2.39E-05,152,49,0.003625944,18,169
25,H-G,0,256,2.80E-05,243,57,0.007165805,35,274
25,H-G,1,102,1.81E-05,78,53,0.001846157,13,119
25,H-G,2,124,2.28E-05,124,49,0.00282561,23,146
25,H-G,3,250,2.79E-05,231,57,0.006976984,40,271
25,H-G,4,194,2.16E-05,169,53,0.004185162,24,213
25,H-G,5,122,2.06E-05,110,49,0.00251358,14,141
25,H-G,6,146,2.05E-05,127,53,0.003000058,18,157
25,H-G,7,162,2.12E-05,158,49,0.003436476,21,182
25,H-G,8,156,2.00E-05,147,53,0.003118537,20,166
25,H-G,9,64,2.02E-05,64,49,0.001289859,7,77
25,G-H,0,178,2.21E-05,156,53,0.003929242,83,185
25,G-H,1,246,2.45E-05,231,53,0.006024301,160,258
25,G-H,2,244,2.44E-05,236,53,0.005951703,167,257
25,G-H,3,170,2.42E-05,168,49,0.004113629,122,186
25,G-H,4,136,2.16E-05,129,49,0.002932347,88,149
25,G-H,5,250,2.60E-05,231,53,0.00650657,155,260
25,G-H,6,142,2.54E-05,132,49,0.003606193,94,163
25,G-H,7,290,2.51E-05,261,57,0.007265933,159,295
25,G-H,8,248,2.58E-05,236,53,0.006386012,154,260
25,G-H,9,178,2.38E-05,173,49,0.004230775,130,192
25,RANDOM,0,106,1.91E-05,90,49,0.002027042,0,116
